,Group number,L2 Group,L1 Group,Country,Longitude,Latitude,Reef area,Cell number
144,124,Pitt Bank C,Southern Banks,Chagos,71.23999786376953,-7.110487937927246,96309,31759
145,124,Pitt Bank C,Southern Banks,Chagos,71.26000213623047,-7.110487937927246,23986,31760
146,124,Pitt Bank C,Southern Banks,Chagos,71.30000305175781,-7.110487937927246,58004,31761
147,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.110487937927246,198274,31762
148,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-7.110487937927246,267040,31763
149,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.110487937927246,670520,31764
150,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.110487937927246,48063,31765
151,124,Pitt Bank C,Southern Banks,Chagos,71.4000015258789,-7.110487937927246,123670,31766
152,124,Pitt Bank C,Southern Banks,Chagos,71.45999908447266,-7.110487937927246,1467539,31767
153,124,Pitt Bank C,Southern Banks,Chagos,71.19999694824219,-7.090641498565674,21888,31768
154,124,Pitt Bank C,Southern Banks,Chagos,71.22000122070312,-7.090641498565674,91,31769
155,124,Pitt Bank C,Southern Banks,Chagos,71.23999786376953,-7.090641498565674,6931,31770
156,124,Pitt Bank C,Southern Banks,Chagos,71.26000213623047,-7.090641498565674,60102,31771
157,124,Pitt Bank C,Southern Banks,Chagos,71.27999877929688,-7.090641498565674,62838,31772
158,124,Pitt Bank C,Southern Banks,Chagos,71.30000305175781,-7.090641498565674,33288,31773
159,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.090641498565674,420899,31774
160,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-7.090641498565674,223628,31775
161,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.090641498565674,711105,31776
162,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.090641498565674,592725,31777
163,124,Pitt Bank C,Southern Banks,Chagos,71.4000015258789,-7.090641498565674,255640,31778
164,124,Pitt Bank C,Southern Banks,Chagos,71.45999908447266,-7.090641498565674,1835723,31779
165,124,Pitt Bank C,Southern Banks,Chagos,71.4800033569336,-7.090641498565674,3192,31780
166,124,Pitt Bank C,Southern Banks,Chagos,71.18000030517578,-7.070794582366943,346387,31781
167,124,Pitt Bank C,Southern Banks,Chagos,71.19999694824219,-7.070794582366943,348393,31782
168,124,Pitt Bank C,Southern Banks,Chagos,71.27999877929688,-7.070794582366943,429381,31783
169,124,Pitt Bank C,Southern Banks,Chagos,71.30000305175781,-7.070794582366943,55268,31784
170,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.070794582366943,280721,31785
171,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-7.070794582366943,571839,31786
172,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.070794582366943,230195,31787
173,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.070794582366943,760628,31788
174,124,Pitt Bank C,Southern Banks,Chagos,71.4000015258789,-7.070794582366943,742844,31789
175,124,Pitt Bank C,Southern Banks,Chagos,71.41999816894531,-7.070794582366943,853472,31790
176,124,Pitt Bank C,Southern Banks,Chagos,71.45999908447266,-7.070794582366943,2010923,31791
177,124,Pitt Bank C,Southern Banks,Chagos,71.4800033569336,-7.070794582366943,161793,31792
178,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.0509467124938965,57457,31793
179,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-7.0509467124938965,228918,31794
180,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.0509467124938965,59737,31795
